subject_id,age,understood,spoken,signed
ID_072EA4BABE40F089,18,7,0,0
ID_C17A8BF21B76B6F5,22,139,0,55
ID_414EC8C55866E6AE,19,16,0,16
ID_20BE64F8554AC097,19,46,0,0
ID_F1D8BD141E0D7543,22,156,5,9
ID_77DFDFB9D2C873A3,20,0,0,0
ID_C98F67794DA84162,19,27,0,0
ID_00A24C0FD5ECE555,20,26,2,0
ID_C689673B6FBB9A9D,18,101,5,19
ID_6649EF318CE9CB54,19,92,12,17
ID_0713557D2BFD91D2,20,61,0,0
ID_075DBFD0E3F998E5,19,13,0,0
ID_3C6BC0F13E62EF52,21,139,5,1
ID_2351E7EE68ADD9C8,31,31,0,6
ID_737018F5261C6159,31,338,16,183
ID_D5D4387A21E46AE8,31,284,21,118
ID_A89826916544C4A3,32,298,17,44
ID_EA7618792BBD0FCC,33,368,138,129
ID_072EA4BABE40F089,25,7,0,1
ID_C17A8BF21B76B6F5,29,266,7,121
ID_414EC8C55866E6AE,25,78,5,65
ID_20BE64F8554AC097,25,150,3,6
ID_F1D8BD141E0D7543,29,307,6,67
ID_00A24C0FD5ECE555,26,75,9,18
ID_C689673B6FBB9A9D,24,234,13,67
ID_6649EF318CE9CB54,25,126,23,53
ID_0713557D2BFD91D2,26,129,7,0
ID_075DBFD0E3F998E5,25,86,8,66
ID_3C6BC0F13E62EF52,27,379,7,4
ID_2351E7EE68ADD9C8,45,70,1,12
ID_737018F5261C6159,38,354,79,182
ID_D5D4387A21E46AE8,37,314,36,131
ID_072EA4BABE40F089,33,41,0,1
ID_C17A8BF21B76B6F5,35,363,142,197
ID_414EC8C55866E6AE,31,139,6,86
ID_F1D8BD141E0D7543,34,341,25,77
ID_77DFDFB9D2C873A3,35,76,11,39
ID_C98F67794DA84162,32,112,3,5
ID_00A24C0FD5ECE555,33,138,21,38
ID_C689673B6FBB9A9D,31,321,57,85
ID_6649EF318CE9CB54,32,215,94,20
ID_0713557D2BFD91D2,33,141,10,0
ID_075DBFD0E3F998E5,31,207,45,132
ID_3C6BC0F13E62EF52,33,283,23,78
